
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,347.58205508,82.707175899,171.53315298,219149.28038
KK,262.79197888,75.424144701,142.21179786,231801.13043
QQ,184.74206127,68.06791135,110.77895806,152909.55311
JJ,140.37521645,60.237238923,95.117252613,31475.614042
TT,124.15272195,54.496839713,92.986273435,8697.6015269
AKs,117.29960232,55.279682049,86.609377853,150733.0082
AQs,104.71438191,50.383926795,84.829759734,79916.479019
AKo,101.34388851,53.06598141,77.949849139,260181.45053
KQs,94.723435146,43.847596827,88.175018446,26402.148121
AJs,91.54321768,46.782889146,79.868044337,39462.971467
QJs,87.177282014,39.907887789,89.161732325,101852.82743
QTs,85.9635856,39.575300921,88.65928238,54829.022637
KJs,83.983799811,40.882794644,83.847257171,15821.019741
J9s,83.631988099,36.491845607,93.542830676,8247.8866073
JTs,82.379269005,38.661317453,86.971147508,56059.754659
Q9s,82.205203741,37.794008474,88.779004235,20173.065687
ATs,82.003641785,44.011839649,76.049704954,27575.596174
54s,81.149146513,31.545542834,104.99771962,52874.592124
76s,80.491561501,33.673053096,97.566735271,73146.337114
98s,80.246760445,35.538301271,92.164731014,38588.130106
A9s,79.30862981,40.689280764,79.556258313,11878.76207
65s,78.535785716,31.77934683,100.86872746,91733.624218
T9s,78.435449793,36.881319001,86.804024831,63548.152993
KQo,78.332487245,40.852399844,78.263318423,110389.59123
87s,78.285980118,34.425184865,92.820013598,77692.447847
KTs,78.184286114,39.280021273,81.242200187,63687.749891
J8s,77.513685546,35.322716702,89.569098733,3311.4965788
A7s,77.449944624,39.158695546,80.728486623,4786.6992374
AJo,77.305228022,44.03386488,71.656563376,2287.443473
K9s,76.918479691,37.482294331,83.760341767,1615.0428371
A5s,76.521793435,38.991323437,80.103423845,30757.627218
Q8s,75.664943269,35.827084275,86.201964069,19435.773408
A4s,75.142750514,37.96431745,80.787730359,26669.557367
A3s,74.806621453,37.70127533,80.987485466,39873.852503
A8s,74.550319654,40.074843499,75.929683668,9499.4035478
Q6s,73.505274893,34.373124377,87.283753111,12263.854304
A2s,71.36409164,36.733668562,79.295648407,52162.499848
K7s,70.989109716,35.553242147,81.497903069,22876.43108
K5s,69.050749463,34.218450943,82.364860466,19709.786344
K6s,68.559083847,35.406159172,79.035117573,10598.428063
KJo,67.274569289,37.596647188,73.035788899,79674.931394
K3s,66.722092872,33.868971193,80.408427938,16588.516085
K4s,66.608871814,34.016161627,79.924639694,51339.634831
ATo,63.634778781,40.883053972,63.53091702,65057.768888
A9o,61.512003353,37.338007059,67.242314527,9454.2261639
A4o,58.952811737,34.754760902,69.234750903,21803.807052
A5o,58.262212312,35.532060893,66.926866113,64839.514986
A8o,56.810125423,36.862755038,62.903074583,42697.401899

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,429.77555055,82.996921925,211.35553945,28249.153339
KK,232.8955732,69.15700887,137.45449548,107809.07251
AKs,139.72071092,58.442416048,97.581286774,67898.857791
QQ,123.6932866,58.728014073,85.967585579,239763.605
AKo,118.50046141,56.303998863,85.904263014,231348.84328
AQs,107.13491609,52.197041733,83.775891753,157551.50349
65s,106.72325897,35.298333391,123.40671551,19417.388963
76s,106.12124298,37.157623302,116.57040791,34017.811612
87s,103.58751756,37.063187896,114.07712561,36977.659951
55,102.99105631,45.349193954,92.696610843,39224.241137
KTs,101.56683122,41.135602615,100.77851506,8978.3940528
98s,100.96716659,37.484510754,109.94164677,29522.527424
JJ,100.58883954,54.311883732,75.594264786,187781.31984
KQs,100.58119053,44.872115277,91.49010895,140942.37853
QJs,100.33403006,39.884808128,102.67735324,29647.488857
QTs,100.02821213,39.059860532,104.5263376,9514.6753661
44,99.436230561,43.919453711,92.410567815,50239.655163
AJs,98.874421245,50.328829621,80.186459599,136252.78643
66,98.691093664,46.524223207,86.583023358,100905.56964
22,98.667168355,41.904394731,96.105226846,17531.754476
