Aggregation analysis,PioViewer 2.0.7.21, EV in chips
File, D:\PIO Sims\100bb_Cash_500NL_Rake\LJ_vs_BB_3bet\4s4h2d.cfr
Action Line,Root
Flop,OOP Equity,IP Equity,BET 359.2% freq,BET 100% freq,BET 75.1% freq,BET 49.8% freq,BET 35.1% freq,BET 20% freq,CHECK freq
4s 4h 2d,47.63,52.37,0.00,0.00,33.38,20.99,0.00,0.00,45.63
5s 3s 2h,48.71,51.29,0.00,0.00,11.24,52.01,5.27,0.00,31.48
5s 4s 2s,49.71,50.29,0.00,0.00,0.00,22.41,32.70,20.53,24.37
6s 2s 2h,46.54,53.46,0.00,0.00,35.69,12.71,0.02,0.00,51.58
6s 4h 3d,47.61,52.39,0.00,0.00,24.50,25.59,0.00,0.00,49.90
6s 5s 2h,48.31,51.69,0.00,0.00,27.95,29.61,0.00,0.00,42.44
6s 6h 5d,48.20,51.80,0.00,0.19,42.09,11.42,0.00,0.00,46.29
7s 5h 5d,48.67,51.33,0.00,7.25,38.01,18.37,0.00,0.00,36.36
7s 6h 3d,48.14,51.86,0.00,0.00,33.40,21.77,0.01,0.01,44.82
7s 7h 4d,48.35,51.65,0.00,0.00,37.33,20.63,0.00,0.00,42.03
8s 5h 3d,47.80,52.20,0.00,0.00,20.80,26.68,0.00,0.00,52.52
8s 5h 4s,49.20,50.80,0.00,0.00,27.28,34.84,0.05,0.00,37.82
8s 6h 5s,47.80,52.20,0.00,0.00,20.79,25.29,0.99,0.01,52.92
8s 7h 3d,46.72,53.28,0.00,0.00,27.82,20.87,0.00,0.00,51.30
8s 7h 4h,48.87,51.13,0.00,0.00,30.20,26.12,3.48,0.00,40.19
8s 7s 6h,48.51,51.49,0.00,0.00,5.50,31.69,19.91,0.01,42.89
9s 3h 2d,46.40,53.60,0.00,0.00,15.89,30.32,0.00,0.00,53.79
9s 6h 2h,46.79,53.21,0.00,0.00,11.10,34.39,2.17,0.01,52.33
9s 6s 5h,48.15,51.85,0.00,0.00,23.02,29.92,3.46,0.00,43.60
9s 7h 4d,47.10,52.90,0.00,0.00,29.24,14.57,0.00,0.00,56.19
9s 7h 5h,47.32,52.68,0.00,0.00,19.57,19.69,4.46,0.01,56.27
9s 8h 2d,46.76,53.24,0.00,0.00,11.62,37.49,0.01,0.00,50.88
9s 8s 8h,48.34,51.66,0.00,0.00,33.20,27.53,0.03,0.00,39.24
As 5h 3s,51.35,48.65,0.00,0.00,13.60,13.12,7.65,38.91,26.72
As 5h 4d,51.23,48.77,0.00,0.00,3.74,15.09,30.38,29.22,21.58
As 6h 3h,49.80,50.20,0.00,0.00,0.05,4.34,17.57,39.85,38.20
As 6h 4h,50.06,49.94,0.00,0.00,0.09,3.33,20.05,35.30,41.23
As 7h 2d,49.12,50.88,0.00,0.00,0.12,14.18,24.45,21.70,39.55
As 7h 5s,50.40,49.60,0.00,0.00,4.90,9.96,15.96,25.94,43.24
As 8h 2s,50.16,49.84,0.00,0.00,5.04,14.48,10.81,37.11,32.55
As 8s 2h,49.72,50.28,0.00,0.00,2.47,15.27,12.01,33.97,36.28
As 9h 4h,49.35,50.65,0.00,0.00,0.01,1.97,10.50,44.70,42.82
As 9h 6d,48.81,51.19,0.00,0.00,0.06,1.48,17.77,28.70,51.99
As 9h 9d,50.68,49.32,0.00,0.00,0.82,21.88,2.62,35.80,38.89
As 9s 4h,49.70,50.30,0.00,0.02,0.75,7.95,13.43,37.14,40.71
As Ah 3d,46.76,53.24,0.00,0.00,0.00,27.21,27.32,7.38,38.09
As Ah Ts,49.47,50.53,0.00,0.00,0.00,0.04,24.16,26.93,48.87
As Jh 9s,50.10,49.90,0.00,0.00,0.02,0.06,10.90,19.28,69.74
As Jh Th,52.24,47.75,0.00,0.00,0.01,0.02,0.02,27.96,71.98
As Js 6s,50.28,49.72,0.00,0.00,0.09,6.38,0.01,50.90,42.62
As Kh 2d,55.68,44.32,0.00,0.00,0.23,14.88,4.52,80.37,0.00
As Kh 3s,56.35,43.65,0.00,0.00,2.93,11.02,12.15,73.89,0.01
As Kh Jd,56.09,43.91,0.00,0.00,0.11,13.14,7.56,65.19,13.99
As Ks 8h,56.45,43.55,0.00,0.00,3.58,13.23,2.34,80.85,0.00
As Qh 7h,52.57,47.43,0.00,0.00,0.01,0.02,0.09,42.62,57.27
As Qh 7s,52.74,47.26,0.00,0.00,0.01,0.03,0.13,50.52,49.31
As Qs Qh,55.02,44.98,0.00,0.00,2.36,12.87,11.05,70.68,3.03
Js 6h 2d,46.60,53.40,0.00,0.00,2.68,57.04,0.90,0.00,39.38
Js 6h 4s,47.52,52.48,0.00,0.00,7.53,39.01,10.00,0.00,43.45
Js 8h 5h,47.91,52.09,0.00,0.00,0.00,32.34,24.66,0.00,42.99
Js 8s 4h,47.83,52.17,0.00,0.00,4.18,32.86,20.49,0.02,42.47
Js 9h 3s,46.58,53.42,0.00,0.00,1.50,29.82,24.43,0.02,44.23
Js 9h 7d,45.99,54.01,0.00,0.00,15.48,19.16,0.23,0.02,65.11
Js 9s 9h,48.00,52.00,0.00,0.00,13.41,36.68,17.17,0.00,32.74
Js Jh 5s,47.85,52.15,0.00,0.00,23.08,44.95,1.71,0.01,30.25
Js Th 3h,47.63,52.37,0.00,0.00,0.03,34.26,17.67,0.04,48.01
Js Th 4s,48.35,51.65,0.00,0.00,0.39,38.64,15.68,0.75,44.54
Ks 4h 2h,53.21,46.79,0.00,0.00,3.04,37.36,38.61,20.95,0.05
Ks 5h 3d,53.73,46.27,0.00,0.00,8.99,51.22,33.68,6.10,0.01
Ks 5h 4d,54.55,45.45,0.00,0.00,10.54,51.11,32.00,6.34,0.00
Ks 7h 4d,53.00,47.00,0.00,0.00,0.10,64.10,35.71,0.04,0.06
Ks 8h 2d,52.59,47.41,0.00,0.00,0.00,63.39,31.67,4.35,0.58
Ks 8h 6d,52.77,47.23,0.00,0.00,1.25,51.74,44.54,0.01,2.45
Ks 9h 5d,54.06,45.94,0.00,0.00,0.00,35.45,54.22,10.32,0.01
Ks 9h 7d,52.28,47.72,0.00,0.00,0.77,42.16,51.04,2.09,3.93
Ks 9s 8s,52.01,47.99,0.00,0.00,0.07,1.64,3.03,64.00,31.25
Ks Jh 2s,52.47,47.53,0.00,0.01,0.87,13.01,38.91,37.15,10.04
Ks Js 5h,53.39,46.61,0.00,0.00,1.19,10.38,49.28,30.57,8.57
Ks Kh Qd,53.29,46.71,0.00,0.00,0.00,7.79,45.50,41.98,4.73
Ks Qh 4s,54.06,45.94,0.00,0.01,0.02,0.00,41.84,55.27,2.85
Ks Qh 9d,52.45,47.55,0.00,0.00,0.01,7.02,27.84,43.85,21.27
Ks Th 5s,54.42,45.58,0.00,3.46,8.80,22.80,38.40,22.68,3.86
Ks Th 7s,52.69,47.31,0.00,2.26,10.54,16.64,36.83,21.90,11.84
Ks Ts 5h,54.80,45.20,0.00,6.07,9.60,19.59,41.98,20.68,2.08
Ks Ts 7h,53.06,46.94,0.00,3.09,16.67,12.61,38.55,19.35,9.72
Qs 4h 2d,48.84,51.16,0.00,0.00,20.77,52.83,7.80,0.00,18.60
Qs 6h 5d,49.18,50.82,0.00,0.00,21.04,50.87,8.99,0.00,19.09
Qs 6s 4h,48.98,51.02,0.00,0.00,4.03,44.44,23.46,0.00,28.06
Qs 7h 3d,48.17,51.83,0.00,0.00,8.85,57.40,9.95,0.01,23.79
Qs 8h 3d,47.43,52.57,0.00,0.00,1.06,50.23,19.55,0.00,29.15
Qs 8h 5d,49.10,50.90,0.00,0.00,3.70,61.54,8.40,0.01,26.35
Qs 8s 4s,49.38,50.62,0.00,0.00,0.00,0.15,15.96,39.75,44.14
Qs 9s 3s,48.58,51.42,0.00,0.00,0.00,0.13,14.42,40.38,45.07
Qs Jh 3d,47.40,52.60,0.00,0.00,0.00,15.10,49.90,4.12,30.87
Qs Jh 6d,47.57,52.43,0.00,0.00,0.01,12.60,45.85,5.13,36.41
Qs Js 2s,49.98,50.02,0.00,0.00,0.00,13.61,31.69,28.81,25.88
Qs Th 3d,48.22,51.78,0.00,0.00,0.00,19.38,41.37,6.66,32.59
Qs Th 8d,47.35,52.65,0.00,11.02,6.08,17.56,10.20,0.01,55.14
Qs Ts 9h,47.82,52.18,0.00,0.00,0.00,7.98,22.35,16.57,53.10
Ts 3h 2h,47.94,52.06,0.00,0.00,5.77,45.79,15.58,0.00,32.86
Ts 3h 3d,47.14,52.86,0.00,0.00,20.89,45.30,0.01,0.00,33.79
Ts 4h 3d,48.54,51.46,0.00,0.00,0.47,53.77,7.38,0.00,38.38
Ts 4s 2h,48.40,51.60,0.00,0.00,7.45,43.17,15.98,0.00,33.40
Ts 6h 2s,48.03,51.97,0.00,0.00,10.92,39.35,10.71,0.01,39.02
Ts 7h 2h,47.20,52.80,0.00,0.00,4.13,37.30,15.76,0.00,42.81
Ts 7h 5h,48.34,51.66,0.00,0.00,9.92,36.23,9.39,0.00,44.46
Ts 7s 6s,48.23,51.77,0.00,0.00,0.00,0.02,0.97,32.81,66.20
Ts 9h 8d,47.39,52.61,0.00,0.96,18.16,11.77,4.06,0.01,65.05
Ts Th 3s,47.80,52.20,0.00,0.00,30.99,42.62,0.00,0.00,26.39
  ,49.41,50.59,0.00,0.33,10.36,26.08,14.92,13.22,35.10
