Flop,Hand,Weight IP,IP Equity
4s 4h 2d,6c5c,0.095,31.49
4s 4h 2d,7c6c,0.165,19.75
4s 4h 2d,8c7c,0.180,19.43
4s 4h 2d,9c8c,0.144,18.91
4s 4h 2d,Tc9c,0.225,19.63
4s 4h 2d,JcTc,0.180,20.75
4s 4h 2d,QcTc,0.050,23.56
4s 4h 2d,QcJc,0.155,25.26
4s 4h 2d,KcTc,0.050,29.57
4s 4h 2d,KcJc,0.565,31.27
4s 4h 2d,KcQc,0.825,34.32
4s 4h 2d,Ac4c,0.180,94.37
4s 4h 2d,Ac5c,0.515,49.77
4s 4h 2d,Ac8c,0.090,42.02
4s 4h 2d,Ac9c,0.104,42.78
4s 4h 2d,AcTc,0.780,43.99
4s 4h 2d,AcJc,0.775,45.74
4s 4h 2d,AcQc,0.930,48.32
4s 4h 2d,AcKc,0.425,55.98
4s 4h 2d,AcKd,0.487,56.26
4s 4h 2d,AcKh,0.487,55.94
4s 4h 2d,AcKs,0.487,55.94
4s 4h 2d,3d3c,0.138,52.86
4s 4h 2d,4d4c,0.163,99.96
4s 4h 2d,5d5c,0.130,56.64
4s 4h 2d,6d6c,0.330,55.71
4s 4h 2d,6d5d,0.095,34.23
4s 4h 2d,7d7c,0.345,55.26
4s 4h 2d,7d6d,0.165,23.03
4s 4h 2d,8d8c,0.385,55.99
4s 4h 2d,8d7d,0.180,22.75
4s 4h 2d,9d9c,0.420,56.84
4s 4h 2d,9d8d,0.144,22.30
4s 4h 2d,TdTc,0.440,57.38
4s 4h 2d,Td9d,0.225,23.04
4s 4h 2d,JdJc,0.635,59.65
4s 4h 2d,JdTd,0.180,24.15
4s 4h 2d,QdQc,0.870,64.66
4s 4h 2d,QdTd,0.050,26.95
4s 4h 2d,QdJd,0.155,28.58
4s 4h 2d,KdKc,0.442,76.43
4s 4h 2d,KdTd,0.050,32.85
4s 4h 2d,KdJd,0.565,34.51
4s 4h 2d,KdQd,0.825,37.46
4s 4h 2d,AdKc,0.487,56.08
4s 4h 2d,AdAc,0.120,90.93
4s 4h 2d,Ad4d,0.180,94.95
4s 4h 2d,Ad5d,0.515,52.15
4s 4h 2d,Ad8d,0.090,44.78
4s 4h 2d,Ad9d,0.104,45.50
4s 4h 2d,AdTd,0.780,46.65
4s 4h 2d,AdJd,0.775,48.31
4s 4h 2d,AdQd,0.930,50.84
4s 4h 2d,AdKd,0.425,58.15
4s 4h 2d,AdKh,0.487,55.99
4s 4h 2d,AdKs,0.487,55.99
4s 4h 2d,2h2c,0.056,93.61
4s 4h 2d,3h3c,0.138,52.87
4s 4h 2d,3h3d,0.138,52.89
4s 4h 2d,5h5c,0.130,56.41
4s 4h 2d,5h5d,0.130,56.45
4s 4h 2d,6h6c,0.330,55.72
4s 4h 2d,6h6d,0.330,55.78
4s 4h 2d,6h5h,0.095,34.41
4s 4h 2d,7h7c,0.345,55.28
4s 4h 2d,7h7d,0.345,55.33
4s 4h 2d,7h6h,0.165,23.37
4s 4h 2d,8h8c,0.385,56.01
4s 4h 2d,8h8d,0.385,56.06
4s 4h 2d,8h7h,0.180,23.10
4s 4h 2d,9h9c,0.420,56.85
4s 4h 2d,9h9d,0.420,56.90
4s 4h 2d,9h8h,0.144,22.64
4s 4h 2d,ThTc,0.440,57.40
4s 4h 2d,ThTd,0.440,57.50
4s 4h 2d,Th9h,0.225,23.38
4s 4h 2d,JhJc,0.635,59.67
4s 4h 2d,JhJd,0.635,59.75
4s 4h 2d,JhTh,0.180,24.50
4s 4h 2d,QhQc,0.870,64.69
4s 4h 2d,QhQd,0.870,64.82
4s 4h 2d,QhTh,0.050,27.28
4s 4h 2d,QhJh,0.155,28.91
4s 4h 2d,KhKc,0.442,76.03
4s 4h 2d,KhKd,0.442,76.17
4s 4h 2d,KhTh,0.050,32.98
4s 4h 2d,KhJh,0.565,34.64
4s 4h 2d,KhQh,0.825,37.59
4s 4h 2d,AhKc,0.487,56.16
4s 4h 2d,AhAc,0.120,90.79
4s 4h 2d,AhKd,0.487,56.39
4s 4h 2d,AhAd,0.120,90.97
4s 4h 2d,Ah5h,0.515,52.17
4s 4h 2d,Ah8h,0.090,45.05
4s 4h 2d,Ah9h,0.104,45.78
4s 4h 2d,AhTh,0.780,46.94
4s 4h 2d,AhJh,0.775,48.62
4s 4h 2d,AhQh,0.930,51.15
4s 4h 2d,AhKh,0.425,58.22
4s 4h 2d,AhKs,0.487,56.07
4s 4h 2d,2s2c,0.056,93.61
4s 4h 2d,2s2h,0.056,93.61
4s 4h 2d,3s3c,0.138,52.87
4s 4h 2d,3s3d,0.138,52.89
4s 4h 2d,3s3h,0.138,52.89
4s 4h 2d,5s5c,0.130,56.41
4s 4h 2d,5s5d,0.130,56.45
4s 4h 2d,5s5h,0.130,56.22
4s 4h 2d,6s6c,0.330,55.72
4s 4h 2d,6s6d,0.330,55.78
4s 4h 2d,6s6h,0.330,55.79
4s 4h 2d,6s5s,0.095,34.41
4s 4h 2d,7s7c,0.345,55.28
4s 4h 2d,7s7d,0.345,55.33
4s 4h 2d,7s7h,0.345,55.35
4s 4h 2d,7s6s,0.165,23.37
4s 4h 2d,8s8c,0.385,56.01
4s 4h 2d,8s8d,0.385,56.06
4s 4h 2d,8s8h,0.385,56.07
4s 4h 2d,8s7s,0.180,23.10
4s 4h 2d,9s9c,0.420,56.85
4s 4h 2d,9s9d,0.420,56.90
4s 4h 2d,9s9h,0.420,56.91
4s 4h 2d,9s8s,0.144,22.64
4s 4h 2d,TsTc,0.440,57.40
4s 4h 2d,TsTd,0.440,57.50
4s 4h 2d,TsTh,0.440,57.53
4s 4h 2d,Ts9s,0.225,23.38
4s 4h 2d,JsJc,0.635,59.67
4s 4h 2d,JsJd,0.635,59.75
4s 4h 2d,JsJh,0.635,59.77
4s 4h 2d,JsTs,0.180,24.50
4s 4h 2d,QsQc,0.870,64.69
4s 4h 2d,QsQd,0.870,64.82
4s 4h 2d,QsQh,0.870,64.85
4s 4h 2d,QsTs,0.050,27.28
4s 4h 2d,QsJs,0.155,28.91
4s 4h 2d,KsKc,0.442,76.03
4s 4h 2d,KsKd,0.442,76.17
4s 4h 2d,KsKh,0.442,75.77
4s 4h 2d,KsTs,0.050,32.98
4s 4h 2d,KsJs,0.565,34.64
4s 4h 2d,KsQs,0.825,37.59
4s 4h 2d,AsKc,0.487,56.16
4s 4h 2d,AsAc,0.120,90.79
4s 4h 2d,AsKd,0.487,56.39
4s 4h 2d,AsAd,0.120,90.97
4s 4h 2d,AsKh,0.487,56.07
4s 4h 2d,AsAh,0.120,90.84
4s 4h 2d,As5s,0.515,52.17
4s 4h 2d,As8s,0.090,45.05
4s 4h 2d,As9s,0.104,45.78
4s 4h 2d,AsTs,0.780,46.94
4s 4h 2d,AsJs,0.775,48.62
4s 4h 2d,AsQs,0.930,51.15
4s 4h 2d,AsKs,0.425,58.22
5s 3s 2h,6c5c,0.095,59.33
5s 3s 2h,7c6c,0.165,29.63
5s 3s 2h,8c7c,0.180,17.98
5s 3s 2h,9c8c,0.144,18.15
5s 3s 2h,Tc9c,0.225,17.34
5s 3s 2h,JcTc,0.180,18.26
5s 3s 2h,QcTc,0.050,20.54
5s 3s 2h,QcJc,0.155,22.37
5s 3s 2h,KcTc,0.050,25.39
5s 3s 2h,KcJc,0.565,27.26
5s 3s 2h,KcQc,0.825,30.46
5s 3s 2h,Ac4c,0.180,88.25
5s 3s 2h,Ac5c,0.515,59.33
5s 3s 2h,Ac8c,0.090,39.73
5s 3s 2h,Ac9c,0.104,40.51
5s 3s 2h,AcTc,0.780,41.47
5s 3s 2h,AcJc,0.775,42.99
5s 3s 2h,AcQc,0.930,44.79
5s 3s 2h,AcKc,0.425,51.29
5s 3s 2h,AcKd,0.487,51.30
5s 3s 2h,AcKh,0.487,51.55
5s 3s 2h,AcKs,0.487,54.93
5s 3s 2h,2d2c,0.056,85.19
5s 3s 2h,3d3c,0.138,85.28
5s 3s 2h,4d4c,0.163,60.73
5s 3s 2h,5d5c,0.130,85.53
5s 3s 2h,6d6c,0.330,57.98
5s 3s 2h,6d5d,0.095,59.33
5s 3s 2h,7d7c,0.345,48.30
5s 3s 2h,7d6d,0.165,29.63
5s 3s 2h,8d8c,0.385,48.11
5s 3s 2h,8d7d,0.180,17.98
5s 3s 2h,9d9c,0.420,48.95
5s 3s 2h,9d8d,0.144,18.15
5s 3s 2h,TdTc,0.440,49.20
5s 3s 2h,Td9d,0.225,17.34
5s 3s 2h,JdJc,0.635,51.18
5s 3s 2h,JdTd,0.180,18.26
5s 3s 2h,QdQc,0.870,55.42
5s 3s 2h,QdTd,0.050,20.54
5s 3s 2h,QdJd,0.155,22.37
5s 3s 2h,KdKc,0.442,65.67
5s 3s 2h,KdTd,0.050,25.39
5s 3s 2h,KdJd,0.565,27.26
5s 3s 2h,KdQd,0.825,30.46
5s 3s 2h,AdKc,0.487,51.30
5s 3s 2h,AdAc,0.120,82.90
5s 3s 2h,Ad4d,0.180,88.25
5s 3s 2h,Ad5d,0.515,59.33
5s 3s 2h,Ad8d,0.090,39.73
5s 3s 2h,Ad9d,0.104,40.51
5s 3s 2h,AdTd,0.780,41.47
5s 3s 2h,AdJd,0.775,42.99
5s 3s 2h,AdQd,0.930,44.79
5s 3s 2h,AdKd,0.425,51.29
5s 3s 2h,AdKh,0.487,51.55
5s 3s 2h,AdKs,0.487,54.93
5s 3s 2h,3h3c,0.138,85.30
5s 3s 2h,3h3d,0.138,85.30
5s 3s 2h,4h4c,0.163,60.79
5s 3s 2h,4h4d,0.163,60.79
5s 3s 2h,5h5c,0.130,85.58
5s 3s 2h,5h5d,0.130,85.58
5s 3s 2h,6h6c,0.330,58.11
5s 3s 2h,6h6d,0.330,58.11
5s 3s 2h,6h5h,0.095,61.34
5s 3s 2h,7h7c,0.345,48.43
5s 3s 2h,7h7d,0.345,48.43
5s 3s 2h,7h6h,0.165,32.76
5s 3s 2h,8h8c,0.385,48.24
5s 3s 2h,8h8d,0.385,48.24
5s 3s 2h,8h7h,0.180,21.71
5s 3s 2h,9h9c,0.420,49.08
5s 3s 2h,9h9d,0.420,49.08
5s 3s 2h,9h8h,0.144,21.91
5s 3s 2h,ThTc,0.440,49.38
5s 3s 2h,ThTd,0.440,49.38
5s 3s 2h,Th9h,0.225,21.19
5s 3s 2h,JhJc,0.635,51.36
5s 3s 2h,JhJd,0.635,51.36
5s 3s 2h,JhTh,0.180,22.12
5s 3s 2h,QhQc,0.870,55.64
5s 3s 2h,QhQd,0.870,55.64
5s 3s 2h,QhTh,0.050,24.37
5s 3s 2h,QhJh,0.155,26.11
5s 3s 2h,KhKc,0.442,65.93
5s 3s 2h,KhKd,0.442,65.93
5s 3s 2h,KhTh,0.050,29.11
5s 3s 2h,KhJh,0.565,30.93
5s 3s 2h,KhQh,0.825,34.02
5s 3s 2h,AhKc,0.487,51.33
5s 3s 2h,AhAc,0.120,83.18
5s 3s 2h,AhKd,0.487,51.33
5s 3s 2h,AhAd,0.120,83.18
