Flop,Hand,Weight OOP,OOP Equity,BET 359.2% freq,BET 100% freq,BET 75.1% freq,BET 49.8% freq,BET 35.1% freq,BET 20% freq,CHECK freq
4s 4h 2d,5c4c,0.300,93.97,0.00,0.00,40.90,17.24,0.00,0.00,41.86
4s 4h 2d,6c5c,0.525,28.19,0.00,0.00,47.31,18.97,0.00,0.00,33.72
4s 4h 2d,7c6c,0.420,16.40,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,8c7c,0.450,16.32,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,9c8c,0.225,16.32,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Tc9c,0.380,17.67,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Jc8c,0.020,18.24,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Jc9c,0.050,18.74,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,JcTc,0.345,19.17,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Qc6c,0.075,20.57,0.00,0.00,45.62,7.79,0.00,0.00,46.59
4s 4h 2d,Qc8c,0.120,20.06,0.00,0.00,16.65,12.01,0.00,0.00,71.34
4s 4h 2d,Qc9c,0.125,20.58,0.00,0.00,38.64,18.01,0.00,0.00,43.35
4s 4h 2d,QcTc,0.345,20.80,0.00,0.00,12.26,6.17,0.00,0.00,81.57
4s 4h 2d,QcJc,0.650,21.72,0.00,0.00,20.14,12.36,0.01,0.00,67.49
4s 4h 2d,Kc3c,0.100,22.05,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Kc4c,0.310,92.87,0.00,0.00,44.30,43.56,0.00,0.00,12.14
4s 4h 2d,Kc5c,0.120,22.31,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Kc6c,0.065,21.95,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Kc7c,0.140,21.03,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Kc9c,0.010,22.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,KcTc,0.400,22.25,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,KcJc,0.100,24.09,0.00,0.00,25.47,12.00,0.00,0.00,62.53
4s 4h 2d,KcQc,0.170,27.55,0.00,0.00,42.82,33.53,0.00,0.00,23.65
4s 4h 2d,KcJd,0.170,23.93,0.00,0.00,0.52,0.00,0.00,0.00,99.48
4s 4h 2d,KcQd,0.240,27.31,0.00,0.00,55.93,23.05,0.00,0.00,21.02
4s 4h 2d,KcJh,0.170,23.95,0.00,0.00,3.78,0.00,0.00,0.00,96.22
4s 4h 2d,KcQh,0.240,27.32,0.00,0.00,54.97,23.60,0.00,0.00,21.43
4s 4h 2d,KcJs,0.170,23.95,0.00,0.00,3.78,0.00,0.00,0.00,96.22
4s 4h 2d,KcQs,0.240,27.32,0.00,0.00,54.97,23.60,0.00,0.00,21.43
4s 4h 2d,Ac2c,0.320,47.39,0.00,0.00,61.67,6.63,0.00,0.00,31.70
4s 4h 2d,Ac3c,0.245,39.06,0.00,0.00,39.55,37.04,0.00,0.00,23.41
4s 4h 2d,Ac4c,0.165,93.08,0.00,0.00,41.53,26.10,0.00,0.00,32.37
4s 4h 2d,Ac5c,0.190,39.32,0.00,0.00,53.85,29.74,0.00,0.00,16.41
4s 4h 2d,Ac7c,0.030,29.90,0.00,0.00,6.62,0.00,0.00,0.00,93.38
4s 4h 2d,Ac8c,0.060,30.65,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4s 4h 2d,Ac9c,0.075,31.56,0.00,0.00,5.44,0.00,0.00,0.00,94.56
4s 4h 2d,AcTc,0.175,33.49,0.00,0.00,21.58,2.20,0.00,0.00,76.22
4s 4h 2d,AcJc,0.255,36.80,0.00,0.00,34.92,8.59,0.00,0.00,56.49
4s 4h 2d,AcQc,0.525,41.08,0.00,0.00,41.90,30.81,0.00,0.00,27.29
4s 4h 2d,AcKc,1.000,46.45,0.00,0.00,44.00,16.40,0.00,0.00,39.59
4s 4h 2d,Ac4d,0.045,93.25,0.00,0.00,44.03,23.14,0.00,0.00,32.82
