
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
QQ,44.69194693,69.338744184,143.23224164,327607.02364
JJ,33.928079859,64.499432047,116.89363864,838069.86229
TT,28.750806623,59.818294923,106.80792802,949851.21706
AKo,25.46424863,59.442986819,95.195787099,754889.81668
99,23.967711356,56.047718727,95.028989583,1007998.3461
AQs,22.877265114,57.598021122,88.264086039,285167.91219
88,22.814346351,52.900516393,95.83752845,1032463.9501
77,20.731532373,50.240503078,91.69906573,1048988.3351
66,19.450677635,47.718433602,90.580777311,1044798.9622
AJs,18.969828479,53.971972563,78.105676698,449990.27763
55,17.852066691,45.651723643,86.899806073,1049339.0211
KQs,17.821811975,48.199706069,82.166531376,518076.23843
AQo,17.781038626,55.382962343,71.34580293,1800838.5581
22,17.779360821,41.389405167,95.458464683,1076624.7987
44,17.089832341,44.008265648,86.296073349,1068593.2201
33,16.968830301,42.655988563,88.401448545,1071559.7173
ATs,16.72561127,50.777215511,73.19823403,505240.4753
KJs,15.755604638,45.37062766,77.169870811,567398.62246
A9s,15.089950957,47.349813614,70.820182359,574270.64798
A3s,14.842060775,42.859616146,76.954392604,485572.69198
KTs,14.837559226,43.569378949,75.677814627,382944.86656
QJs,14.780208914,42.177786884,77.872527518,223213.52897
KQo,14.552352963,45.580359568,70.948457727,1428520.3965
A7s,14.528947095,44.786142985,72.09048815,614247.22804
JTs,14.485796736,40.79677366,78.904914595,425405.64555
A4s,14.443031371,43.078909555,74.504265778,533551.78572
A5s,14.432041513,44.042351143,72.819008366,513015.9542
A8s,14.365553298,46.118309024,69.220776841,589182.12397
QTs,14.184931481,41.694799789,75.601921862,422640.08403
J9s,14.151311003,38.280298447,82.150241926,625459.64883
A2s,14.056581044,41.950822667,74.460629802,435789.69789
AJo,13.980032129,51.65108342,60.147311554,1804525.4472
98s,13.624108437,37.724849681,80.254253583,527613.83132
A6s,13.605145356,43.65859799,69.250176914,631271.85616
54s,13.408669417,35.08327994,84.932318754,493058.51248
76s,13.39818773,36.871396073,80.750266285,403669.68593
K9s,13.380770782,41.405471411,71.814292092,638318.34001
T9s,13.258833476,39.02363517,75.503151518,410409.03907
53s,13.251692046,33.813730214,87.089488088,705036.47554
65s,13.238275071,35.267734598,83.414456251,330851.03307
87s,13.137092648,37.09467027,78.700090889,379871.94201
97s,13.129694729,36.149766839,80.71172223,680467.71786
64s,13.077694691,34.208765243,84.953501105,702107.18718
75s,13.001752833,34.782932722,83.065980386,698730.22947
K8s,12.727446255,39.472485574,71.65298432,652505.64118
Q9s,12.717728217,39.613879932,71.342717019,570917.2442
86s,12.715318936,36.089831966,78.294252879,687589.55221
T8s,12.688117707,37.819692229,74.553269648,668610.92848
T7s,12.638011707,35.757431189,78.541633242,674952.06169
K7s,12.617393459,38.603710394,72.632013464,565405.99331
43s,12.302168568,33.072286206,82.661816007,710874.30214
J8s,12.184757542,37.099917155,72.984634624,650358.08818
KJo,12.030061843,42.427242463,63.01015388,1564669.9885
K5s,11.995701127,37.280623365,71.503937457,578012.18508
Q8s,11.951146692,37.439486013,70.936080027,578836.9123
K4s,11.862440848,37.000304322,71.245304991,458284.9323
85s,11.839052984,33.958047594,77.475027259,693570.02605
42s,11.810463134,31.317905368,83.803413168,716067.51841
K2s,11.800762529,36.19767182,72.446418273,666767.7056
96s,11.657590221,35.253730664,73.483729406,681783.1214
ATo,11.529691205,48.131921878,53.231898939,1575416.5568
74s,11.48659288,33.427113129,76.362448223,705146.54835
63s,11.483331784,33.009190127,77.30730435,704100.50986
K6s,11.467866855,38.440168783,66.295620893,611825.88718
K3s,11.428263514,36.895863855,68.831946157,596436.19528
52s,11.221943799,32.339547458,77.111941404,706513.79987
32s,11.197087482,31.04325476,80.154019993,713358.42329
Q7s,11.145529217,36.525036769,67.810589379,663332.97818
QJo,11.143301291,39.056448062,63.402825877,1906781.669
J9o,11.081501352,34.919251704,70.521438343,373299.49893
