Aggregation analysis,PioViewer 2.0.7.21, EV in chips
File, D:\PIO Sims\100bb_Cash_500NL_Rake\LJ_vs_BB_SRP\4s4h2d.cfr
Action Line,Root CHECK
Flop,OOP Equity,IP Equity,BET 100% freq,BET 60% freq,BET 31.1% freq,CHECK freq
4s 4h 2d,39.72,60.28,0.24,0.35,45.86,53.55
5s 3s 2h,43.50,56.50,0.97,2.22,43.56,53.24
5s 4s 2s,44.27,55.73,0.64,0.81,81.69,16.86
6s 2s 2h,41.10,58.90,0.53,0.88,96.96,1.63
6s 4h 3d,46.16,53.84,0.68,0.90,14.97,83.45
6s 5s 2h,45.51,54.49,1.90,5.63,36.92,55.54
6s 6h 5d,43.22,56.78,0.33,0.69,45.18,53.81
7s 5h 5d,43.16,56.84,0.36,0.62,44.72,54.31
7s 6h 3d,46.12,53.88,2.30,4.70,24.89,68.11
7s 7h 4d,41.80,58.20,0.30,0.39,47.27,52.04
8s 5h 3d,44.46,55.54,2.30,5.83,63.45,28.42
8s 5h 4s,46.39,53.61,1.11,2.32,38.96,57.61
8s 6h 5s,47.66,52.34,0.69,2.37,36.60,60.35
8s 7h 3d,44.50,55.50,4.71,11.52,54.76,29.01
8s 7h 4h,46.43,53.57,1.51,3.94,38.70,55.85
8s 7s 6h,48.60,51.40,1.00,5.28,26.56,67.16
9s 3h 2d,41.54,58.46,0.96,1.25,91.74,6.05
9s 6h 2h,43.69,56.31,29.76,14.25,23.90,32.09
9s 6s 5h,46.70,53.30,1.36,4.21,35.82,58.61
9s 7h 4d,44.39,55.61,6.34,14.17,46.82,32.67
9s 7h 5h,46.04,53.96,2.44,12.00,40.91,44.64
9s 8h 2d,43.62,56.38,5.59,23.74,37.51,33.15
9s 8s 8h,42.71,57.29,0.69,1.03,48.92,49.36
As 5h 3s,39.49,60.51,3.76,5.10,20.24,70.90
As 5h 4d,39.55,60.45,12.76,3.37,4.98,78.89
As 6h 3h,37.31,62.69,11.19,9.38,47.08,32.35
As 6h 4h,38.10,61.90,13.52,13.05,37.26,36.17
