Flop,Hand,Weight IP,IP Equity,BET 100% freq,BET 60% freq,BET 31.1% freq,CHECK freq
4s 4h 2d,5c4c,0.095,94.92,0.37,1.26,98.32,0.05
4s 4h 2d,6c5c,0.205,34.16,0.21,0.63,96.74,2.41
4s 4h 2d,7c6c,0.165,23.48,0.19,0.24,1.65,97.93
4s 4h 2d,8c7c,0.180,24.35,0.20,0.26,1.95,97.58
4s 4h 2d,9c7c,0.010,25.10,0.34,0.51,99.01,0.14
4s 4h 2d,9c8c,0.375,25.72,0.33,0.48,56.27,42.92
4s 4h 2d,Tc8c,0.440,28.47,0.32,0.41,43.34,55.92
4s 4h 2d,Tc9c,1.000,29.29,0.34,0.46,52.74,46.46
4s 4h 2d,Jc9c,1.000,33.44,0.37,0.54,34.55,64.54
4s 4h 2d,JcTc,1.000,34.62,0.35,0.55,50.85,48.24
4s 4h 2d,Qc8c,0.035,38.26,0.34,0.44,24.68,74.54
4s 4h 2d,Qc9c,1.000,38.73,0.36,0.53,55.56,43.55
4s 4h 2d,QcTc,1.000,39.89,0.34,0.55,57.51,41.60
4s 4h 2d,QcJc,1.000,41.84,0.36,0.60,48.14,50.90
4s 4h 2d,QcJd,0.350,41.98,0.40,1.19,64.57,33.84
4s 4h 2d,QcJh,0.350,41.91,0.39,0.52,58.68,40.41
4s 4h 2d,QcJs,0.350,41.91,0.39,0.52,58.68,40.41
4s 4h 2d,Kc5c,0.205,45.27,0.43,1.79,47.11,50.67
4s 4h 2d,Kc6c,0.465,45.07,0.38,0.74,49.34,49.54
4s 4h 2d,Kc7c,0.585,44.57,0.39,0.52,70.28,28.82
4s 4h 2d,Kc8c,0.790,45.08,0.37,0.48,70.16,28.99
4s 4h 2d,Kc9c,1.000,45.79,0.37,0.56,76.95,22.12
4s 4h 2d,KcTc,1.000,47.26,0.33,0.45,42.45,56.76
4s 4h 2d,KcJc,1.000,49.18,0.37,0.48,30.71,68.45
4s 4h 2d,KcQc,1.000,50.86,0.31,0.40,40.61,58.67
4s 4h 2d,KcTd,0.050,47.40,0.30,0.40,96.95,2.36
4s 4h 2d,KcJd,0.615,49.30,0.40,0.54,33.44,65.63
4s 4h 2d,KcQd,1.000,50.95,0.32,0.41,31.04,68.22
4s 4h 2d,KcTh,0.050,47.38,0.30,0.40,97.36,1.94
4s 4h 2d,KcJh,0.615,49.23,0.39,0.48,35.70,63.44
4s 4h 2d,KcQh,1.000,50.91,0.31,0.39,25.25,74.05
4s 4h 2d,KcTs,0.050,47.38,0.30,0.40,97.36,1.94
4s 4h 2d,KcJs,0.615,49.23,0.39,0.48,35.70,63.44
4s 4h 2d,KcQs,1.000,50.91,0.31,0.39,25.25,74.05
4s 4h 2d,Ac3c,1.000,59.96,0.23,0.51,60.52,38.73
4s 4h 2d,Ac4c,1.000,94.84,1.29,1.25,97.42,0.04
4s 4h 2d,Ac5c,1.000,60.13,0.22,0.53,58.65,40.61
4s 4h 2d,Ac6c,1.000,54.45,0.41,0.59,85.79,13.21
4s 4h 2d,Ac7c,1.000,54.67,0.36,0.42,95.10,4.12
4s 4h 2d,Ac8c,1.000,55.45,0.31,0.38,71.01,28.30
4s 4h 2d,Ac9c,1.000,56.80,0.24,0.30,33.94,65.52
4s 4h 2d,AcTc,1.000,58.79,0.20,0.24,7.51,92.05
4s 4h 2d,AcJc,1.000,60.77,0.18,0.21,49.01,50.60
4s 4h 2d,AcQc,1.000,62.59,0.16,0.22,61.76,37.87
4s 4h 2d,AcKc,1.000,63.72,0.16,0.24,61.82,37.77
4s 4h 2d,AcTd,0.755,58.94,0.20,0.24,19.40,80.16
4s 4h 2d,AcJd,1.000,60.89,0.17,0.21,25.87,73.75
4s 4h 2d,AcQd,1.000,62.64,0.15,0.21,49.73,49.91
4s 4h 2d,AcKd,1.000,63.78,0.16,0.23,58.02,41.59
4s 4h 2d,AcTh,0.755,58.91,0.20,0.25,14.91,84.64
4s 4h 2d,AcJh,1.000,60.80,0.17,0.20,20.37,79.26
4s 4h 2d,AcQh,1.000,62.60,0.14,0.20,32.00,67.67
4s 4h 2d,AcKh,1.000,63.78,0.15,0.22,42.96,56.68
4s 4h 2d,AcTs,0.755,58.91,0.20,0.25,14.91,84.65
4s 4h 2d,AcJs,1.000,60.80,0.17,0.20,20.39,79.24
4s 4h 2d,AcQs,1.000,62.60,0.14,0.20,32.01,67.66
4s 4h 2d,AcKs,1.000,63.78,0.15,0.22,42.96,56.68
4s 4h 2d,3d3c,0.325,61.16,0.20,0.47,68.45,30.89
4s 4h 2d,4d4c,0.355,99.98,0.02,0.38,99.56,0.04
4s 4h 2d,5d5c,0.930,67.13,0.17,0.39,54.06,45.39
4s 4h 2d,5d4d,0.095,94.96,1.01,1.77,97.19,0.03
4s 4h 2d,6d6c,1.000,68.52,0.26,0.31,60.84,38.59
4s 4h 2d,6d5d,0.205,37.07,0.28,0.77,98.26,0.70
4s 4h 2d,7d7c,1.000,69.94,0.25,0.33,63.17,36.26
4s 4h 2d,7d6d,0.165,26.94,0.19,0.24,0.88,98.68
4s 4h 2d,8d8c,1.000,72.38,0.19,0.38,60.12,39.31
4s 4h 2d,8d7d,0.180,27.82,0.21,0.26,1.90,97.63
4s 4h 2d,9d9c,1.000,75.03,0.14,0.42,54.14,45.30
4s 4h 2d,9d7d,0.010,28.55,0.19,0.24,98.14,1.43
4s 4h 2d,9d8d,0.375,29.15,0.25,0.31,93.42,6.03
4s 4h 2d,TdTc,1.000,78.64,0.22,0.43,55.64,43.72
4s 4h 2d,Td8d,0.440,31.80,0.25,0.32,58.26,41.16
4s 4h 2d,Td9d,1.000,32.57,0.26,0.33,72.74,26.66
4s 4h 2d,JdJc,1.000,82.40,0.35,0.52,70.19,28.94
4s 4h 2d,Jd9d,1.000,36.59,0.29,0.37,26.71,72.63
4s 4h 2d,JdTd,1.000,37.70,0.29,0.39,39.69,59.63
4s 4h 2d,QdJc,0.350,41.94,0.38,0.64,78.79,20.19
4s 4h 2d,QdQc,1.000,85.19,0.47,0.58,74.95,24.00
4s 4h 2d,Qd8d,0.035,41.21,0.24,0.30,1.66,97.80
4s 4h 2d,Qd9d,1.000,41.65,0.27,0.33,30.51,68.89
4s 4h 2d,QdTd,1.000,42.77,0.27,0.33,35.01,64.39
4s 4h 2d,QdJd,1.000,44.61,0.31,0.40,42.05,57.23
4s 4h 2d,QdJh,0.350,42.01,0.41,0.53,97.08,1.98
4s 4h 2d,QdJs,0.350,42.01,0.41,0.53,97.06,1.99
4s 4h 2d,KdTc,0.050,47.33,0.30,0.41,98.69,0.59
4s 4h 2d,KdJc,0.615,49.25,0.37,0.49,77.69,21.46
4s 4h 2d,KdQc,1.000,50.94,0.32,0.41,45.53,53.74
4s 4h 2d,KdKc,1.000,87.15,0.44,0.53,67.02,32.01
4s 4h 2d,Kd5d,0.205,47.80,0.28,0.35,45.67,53.70
4s 4h 2d,Kd6d,0.465,47.70,0.28,0.35,16.66,82.71
4s 4h 2d,Kd7d,0.585,47.26,0.27,0.33,36.69,62.71
4s 4h 2d,Kd8d,0.790,47.75,0.26,0.31,23.30,76.13
4s 4h 2d,Kd9d,1.000,48.41,0.26,0.31,34.89,64.54
4s 4h 2d,KdTd,1.000,49.84,0.24,0.30,22.23,77.23
4s 4h 2d,KdJd,1.000,51.64,0.28,0.35,43.84,55.53
4s 4h 2d,KdQd,1.000,53.19,0.25,0.32,35.56,63.87
4s 4h 2d,KdTh,0.050,47.45,0.29,0.38,98.93,0.41
4s 4h 2d,KdJh,0.615,49.30,0.39,0.49,92.88,6.25
4s 4h 2d,KdQh,1.000,50.99,0.30,0.39,77.49,21.81
4s 4h 2d,KdTs,0.050,47.45,0.29,0.38,98.93,0.41
4s 4h 2d,KdJs,0.615,49.30,0.39,0.49,92.87,6.26
4s 4h 2d,KdQs,1.000,50.99,0.30,0.39,77.49,21.81
4s 4h 2d,AdTc,0.755,58.86,0.24,0.29,46.36,53.11
4s 4h 2d,AdJc,1.000,60.84,0.19,0.23,37.55,62.03
4s 4h 2d,AdQc,1.000,62.65,0.16,0.22,62.96,36.66
4s 4h 2d,AdKc,1.000,63.79,0.16,0.24,74.47,25.13
4s 4h 2d,AdAc,1.000,90.55,0.21,0.25,50.97,48.57
4s 4h 2d,Ad3d,1.000,61.84,0.21,0.56,74.19,25.05
4s 4h 2d,Ad4d,1.000,95.14,1.23,1.14,97.59,0.04
4s 4h 2d,Ad5d,1.000,62.02,0.24,0.52,56.95,42.29
4s 4h 2d,Ad6d,1.000,56.69,0.32,0.40,37.09,62.18
4s 4h 2d,Ad7d,1.000,56.92,0.28,0.34,37.24,62.14
4s 4h 2d,Ad8d,1.000,57.68,0.24,0.29,15.57,83.90
4s 4h 2d,Ad9d,1.000,58.95,0.18,0.23,3.41,96.18
4s 4h 2d,AdTd,1.000,60.86,0.16,0.20,3.93,95.72
4s 4h 2d,AdJd,1.000,62.71,0.15,0.20,35.24,64.41
4s 4h 2d,AdQd,1.000,64.38,0.15,0.21,35.49,64.15
4s 4h 2d,AdKd,1.000,65.45,0.16,0.22,31.12,68.50
4s 4h 2d,AdTh,0.755,58.97,0.24,0.30,59.47,40.00
4s 4h 2d,AdJh,1.000,60.87,0.19,0.23,45.92,53.66
