Flop,Hand,Weight OOP,OOP Equity
4s 4h 2d,3c2c,1.000,52.55
4s 4h 2d,4c2c,1.000,97.20
4s 4h 2d,4c3c,1.000,95.47
4s 4h 2d,5c2c,1.000,53.05
4s 4h 2d,5c3c,1.000,40.93
4s 4h 2d,5c4c,0.700,95.49
4s 4h 2d,5c4d,0.290,95.51
4s 4h 2d,6c3c,1.000,30.00
4s 4h 2d,6c4c,1.000,95.15
4s 4h 2d,6c5c,0.475,31.86
4s 4h 2d,6c5d,0.495,31.93
4s 4h 2d,6c5h,0.495,31.94
4s 4h 2d,6c5s,0.495,31.94
4s 4h 2d,7c3c,0.095,18.68
4s 4h 2d,7c4c,1.000,94.41
4s 4h 2d,7c5c,1.000,20.27
4s 4h 2d,7c6c,0.580,19.75
4s 4h 2d,7c6d,0.500,19.82
4s 4h 2d,7c6h,0.500,19.83
4s 4h 2d,7c6s,0.500,19.83
4s 4h 2d,8c4c,0.605,94.38
4s 4h 2d,8c5c,1.000,20.62
4s 4h 2d,8c6c,1.000,20.06
4s 4h 2d,8c7c,0.550,19.01
4s 4h 2d,8c6d,0.115,20.16
4s 4h 2d,8c7d,0.605,19.07
4s 4h 2d,8c6h,0.115,20.17
4s 4h 2d,8c7h,0.605,19.08
4s 4h 2d,8c6s,0.115,20.17
4s 4h 2d,8c7s,0.605,19.08
4s 4h 2d,9c2c,0.280,52.93
4s 4h 2d,9c3c,0.265,19.20
4s 4h 2d,9c5c,1.000,19.36
4s 4h 2d,9c6c,1.000,18.82
4s 4h 2d,9c7c,1.000,17.72
4s 4h 2d,9c8c,0.775,18.08
4s 4h 2d,9c7d,0.155,17.81
4s 4h 2d,9c8d,0.515,18.12
4s 4h 2d,9c7h,0.155,17.82
4s 4h 2d,9c8h,0.515,18.13
4s 4h 2d,9c7s,0.155,17.82
4s 4h 2d,9c8s,0.515,18.13
4s 4h 2d,Tc3c,0.265,19.70
4s 4h 2d,Tc4c,0.415,94.26
4s 4h 2d,Tc5c,0.530,19.89
4s 4h 2d,Tc6c,1.000,19.35
4s 4h 2d,Tc7c,1.000,18.27
4s 4h 2d,Tc8c,1.000,18.67
4s 4h 2d,Tc9c,0.620,19.15
4s 4h 2d,Tc8d,0.230,18.70
4s 4h 2d,Tc9d,0.845,19.11
4s 4h 2d,Tc8h,0.230,18.71
4s 4h 2d,Tc9h,0.845,19.12
4s 4h 2d,Tc8s,0.230,18.71
4s 4h 2d,Tc9s,0.845,19.12
